 Water (kg/m3),Cement (kg/m3),Fine aggregate (kg/m3),Coarse aggregate (kg/m3),Slag (kg/m3),Fly ash (kg/m3),SP (kg/m3),Strength (MPa)
0.916319703,0.706190476,0.465744337,0.378846154,0.670382514,0.01,0.01,0.571579652
0.928959108,0.621809524,0.571569579,0.378846154,0.387868852,0.01,0.01,0.59389112
0.924498141,0.568285714,0.571569579,0.378846154,0.46136612,0.01,0.01,0.582735386
0.920780669,0.521809524,0.571569579,0.378846154,0.525027322,0.01,0.01,0.526956716
0.931189591,0.485809524,0.638883495,0.378846154,0.319562842,0.01,0.01,0.48233378
0.924498141,0.404095238,0.638883495,0.378846154,0.432131148,0.01,0.01,0.460022311
0.933420074,0.39152381,0.685485437,0.378846154,0.272021858,0.01,0.01,0.370776439
0.929702602,0.354571429,0.685485437,0.378846154,0.323387978,0.01,0.01,0.404243641
0.926728625,0.322571429,0.685485437,0.378846154,0.367650273,0.01,0.01,0.303842035
0.496988848,0.493809524,0.675857605,0.666410256,0.01,0.122121212,0.01,0.326376618
0.496988848,0.356666667,0.666957929,0.648461538,0.01,0.343333333,0.01,0.296813922
0.496988848,0.286190476,0.66210356,0.639487179,0.01,0.452424242,0.01,0.228987059
0.705167286,0.798571429,0.399158576,0.735641026,0.343333333,0.01,0.12409643,0.525060241
0.705167286,0.566190476,0.391877023,0.735641026,0.676666667,0.01,0.12409643,0.541682285
0.705167286,0.333809524,0.384595469,0.735641026,1.01,0.01,0.12409643,0.506764837
0.720037175,0.590952381,0.492200647,0.735641026,0.269562842,0.01,0.05416636,0.413056671
0.720037175,0.411904762,0.485728155,0.735641026,0.529125683,0.01,0.05416636,0.428340027
0.720037175,0.230952381,0.480064725,0.735641026,0.788688525,0.01,0.05416636,0.400227577
0.727472119,0.45952381,0.551262136,0.735641026,0.223114754,0.01,0.02472212,0.325372602
0.727472119,0.310952381,0.546407767,0.735641026,0.433497268,0.01,0.02472212,0.317228916
0.727472119,0.164285714,0.541553398,0.735641026,0.646612022,0.01,0.02472212,0.294024989
0.333420074,0.604285714,0.685566343,0.477948718,0.146612022,0.361515152,0.2308318,0.794694333
0.333420074,0.415714286,0.794789644,0.477948718,0.111092896,0.270606061,0.1572212,0.616202588
0.333420074,0.354761905,0.831197411,0.477948718,0.100163934,0.24030303,0.1572212,0.582735386
0.333420074,0.604285714,0.577961165,0.652307692,0.146612022,0.361515152,0.2308318,0.805850067
0.333420074,0.495714286,0.6402589,0.652307692,0.124754098,0.31,0.1940265,0.716604195
0.333420074,0.415714286,0.686375405,0.652307692,0.111092896,0.270606061,0.1572212,0.64966979
0.333420074,0.354761905,0.722783172,0.652307692,0.100163934,0.24030303,0.1572212,0.638514056
0.333420074,0.604285714,0.469546926,0.826666667,0.146612022,0.361515152,0.2308318,0.828161535
0.333420074,0.415714286,0.578770227,0.826666667,0.111092896,0.270606061,0.1572212,0.660825524
0.333420074,0.354761905,0.614368932,0.826666667,0.100163934,0.24030303,0.1572212,0.59389112
0.333420074,0.394761905,0.554498382,0.652307692,0.236775956,0.594848485,0.2308318,0.805850067
0.333420074,0.316666667,0.620032362,0.652307692,0.203989071,0.51,0.1940265,0.716604195
0.333420074,0.25952381,0.669385113,0.652307692,0.179398907,0.446363636,0.1572212,0.683136992
0.333420074,0.215714286,0.707411003,0.652307692,0.160273224,0.394848485,0.1572212,0.526956716
0.370594796,0.350952381,0.671812298,0.545897436,0.57557377,0.01,0.230095694,0.699312807
0.370594796,0.371904762,0.657249191,0.545897436,0.600163934,0.01,0.239665072,0.793355645
0.847918216,0.654190476,0.666553398,0.376282051,0.01,0.148787879,0.01,0.330727354
0.847918216,0.566952381,0.651504854,0.376282051,0.01,0.287575758,0.01,0.299045069
0.847918216,0.479714286,0.648754045,0.376282051,0.135136612,0.287575758,0.01,0.27717983
